Name;lat;lng;rating
Little Angels Pre School;-26.2792495;27.8062282;3
Zerowa Christian Academy;-26.2871157;27.8960542;5
BTC-Soweto;-26.2591331;27.8855981;0
Reabetswe abby plumbing academy;-26.264088;27.863404;1
A.B. Xuma Primary School;-26.2346784;27.9204306;3.7
Emadwaleni Secondary School;-26.2281749;27.9174908;4.6
Orlando High School;-26.230698;27.926259;4
Diepdale Secondary School;-26.2479409;27.937536;3.6
Khotso Primary School;-26.2712909;27.851454;5
Lethabo Primary School;-26.24972;27.823244;3
Freedom Primary School;-26.2959054;27.9294923;4
University of Johannesburg: Soweto Campus;-26.2614269;27.922561;4.4
